,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
30,RD Gaikwad,204,169,16,6,120.71,51.0,4,0,0,0,,,,0.0,0,0,Chennai Super Kings
31,R Tewatia,255,182,13,17,140.11,42.5,6,286,326,10,7.09,32.6,28.6,46.0,8,2,Rajasthan Royals
32,Mandeep Singh,130,109,10,4,119.27,21.67,6,0,0,0,,,,0.0,0,0,Punjab Kings
33,AS Rajpoot,9,10,0,1,90.0,9.0,1,115,202,2,11.88,101.0,57.5,17.0,11,2,Rajasthan Royals
34,KK Ahmed,0,2,0,0,0.0,0.0,1,158,242,8,9.43,30.25,19.75,25.67,4,0,Sunrisers Hyderabad
35,V Shankar,90,86,10,1,104.65,30.0,3,60,62,3,6.76,,20.0,9.17,3,2,Sunrisers Hyderabad
36,R Ashwin,33,28,3,1,117.86,16.5,2,306,389,11,7.78,35.36,27.82,50.0,6,0,Delhi Capitals
37,MA Agarwal,324,200,36,11,162.0,36.0,9,0,0,0,,,,0.0,0,0,Punjab Kings
38,L Ngidi,0,0,0,0,,0.0,0,104,167,9,10.44,18.56,11.56,16.0,6,2,Chennai Super Kings
39,JD Unadkat,9,13,0,0,69.23,9.0,1,144,228,4,9.91,57.0,36.0,23.0,6,0,Rajasthan Royals
40,RV Uthappa,196,164,19,7,119.51,16.33,12,0,0,0,,,,0.0,0,0,Rajasthan Royals
41,M Prasidh Krishna,2,4,0,0,50.0,2.0,0,109,164,4,9.37,41.0,27.25,17.5,2,2,Kolkata Knight Riders
42,RA Tripathi,207,165,19,9,125.45,23.0,9,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
43,Imran Tahir,13,10,2,0,130.0,13.0,0,66,77,1,7.0,,66.0,11.0,0,0,Chennai Super Kings
44,RR Pant,312,269,28,9,115.99,31.2,10,0,0,0,,,,0.0,0,0,Delhi Capitals
45,Mohammed Siraj,17,14,2,0,121.43,17.0,1,172,239,11,8.8,21.73,15.64,27.17,8,1,Royal Challengers Bangalore
46,AT Carey,32,29,0,1,110.34,16.0,2,0,0,0,,,,0.0,0,0,Delhi Capitals
47,AJ Tye,6,6,0,1,100.0,6.0,1,27,53,1,13.25,,27.0,4.0,2,1,Rajasthan Royals
48,JC Archer,113,60,5,10,188.33,18.83,6,345,368,20,6.61,18.4,17.25,55.67,9,2,Rajasthan Royals
49,K Rabada,56,49,4,2,114.29,14.0,4,386,527,28,8.55,18.82,13.79,61.67,14,2,Delhi Capitals
50,MK Lomror,59,54,2,3,109.26,19.67,3,0,0,0,,,,0.0,0,0,Rajasthan Royals
51,M Vijay,32,43,4,0,74.42,10.67,3,0,0,0,,,,0.0,0,0,Chennai Super Kings
52,S Dhawan,618,423,67,13,146.1,47.54,13,0,0,0,,,,0.0,0,0,Delhi Capitals
53,MP Stoinis,299,215,24,13,139.07,23.0,13,166,254,11,9.52,23.09,15.09,26.67,6,0,Delhi Capitals
54,SR Watson,299,247,33,13,121.05,29.9,10,0,0,0,,,,0.0,0,0,Chennai Super Kings
55,JO Holder,66,53,5,3,124.53,33.0,2,176,236,14,8.43,16.86,12.57,28.0,8,0,Sunrisers Hyderabad
56,KS Williamson,288,217,22,9,132.72,48.0,6,12,24,0,12.0,,,2.0,0,0,Sunrisers Hyderabad
57,TK Curran,83,62,5,3,133.87,83.0,1,116,208,3,11.45,69.33,38.67,18.17,6,1,Rajasthan Royals
58,I Udana,15,11,1,1,136.36,5.0,3,155,237,6,9.48,39.5,25.83,25.0,5,0,Royal Challengers Bangalore
59,Avesh Khan,0,0,0,0,,0.0,0,25,42,0,10.5,,,4.0,1,0,Delhi Capitals
60,SN Thakur,12,21,0,0,57.14,12.0,1,203,276,10,8.54,27.6,20.3,32.33,7,2,Chennai Super Kings
61,Ishan Kishan,410,288,33,21,142.36,58.57,7,0,0,0,,,,0.0,0,0,Mumbai Indians
62,RA Jadeja,232,134,22,11,173.13,46.4,5,221,318,6,8.75,53.0,36.83,36.33,3,0,Chennai Super Kings
63,Sandeep Sharma,12,15,1,0,80.0,6.0,2,293,347,14,7.23,24.79,20.93,48.0,5,0,Sunrisers Hyderabad
64,Shubman Gill,404,335,39,9,120.6,33.67,12,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
65,T Natarajan,3,5,0,0,60.0,3.0,0,364,467,14,7.94,33.36,26.0,58.83,11,0,Sunrisers Hyderabad
66,NS Naik,1,3,0,0,33.33,1.0,1,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
67,YS Chahal,1,3,0,0,33.33,1.0,1,324,360,20,6.77,18.0,16.2,53.17,3,2,Royal Challengers Bangalore
68,N Rana,323,234,40,11,138.03,24.85,13,13,23,0,11.5,,,2.0,1,0,Kolkata Knight Riders
69,V Kohli,463,371,23,11,124.8,46.3,10,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
70,AB de Villiers,399,259,29,19,154.05,39.9,10,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
71,SO Hetmyer,178,111,10,12,160.36,25.43,7,0,0,0,,,,0.0,0,0,Delhi Capitals
72,PJ Cummins,146,114,9,8,128.07,20.86,7,297,386,11,8.04,35.09,27.0,48.0,9,0,Kolkata Knight Riders
73,S Gopal,37,39,3,0,94.87,9.25,4,305,427,10,8.54,42.7,30.5,50.0,5,0,Rajasthan Royals
74,KD Karthik,140,120,18,2,116.67,11.67,12,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
75,JM Bairstow,309,244,24,13,126.64,30.9,10,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
76,K Gowtham,22,13,2,1,169.23,22.0,0,24,45,1,11.25,,24.0,4.0,0,0,Punjab Kings
77,S Nadeem,7,8,1,0,87.5,7.0,1,137,178,5,8.09,35.6,27.4,22.0,2,3,Sunrisers Hyderabad
78,KM Jadhav,62,65,7,0,95.38,20.67,3,0,0,0,,,,0.0,0,0,Chennai Super Kings
79,N Pooran,329,192,21,23,171.35,41.12,8,0,0,0,,,,0.0,0,0,Punjab Kings
80,B Kumar,0,2,0,0,0.0,0.0,1,88,99,3,6.99,,29.33,14.17,2,1,Sunrisers Hyderabad
81,DA Miller,0,0,0,0,,0.0,1,0,0,0,,,,0.0,0,0,Rajasthan Royals
82,D Padikkal,419,338,46,6,123.96,29.93,14,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
83,Mohammad Nabi,11,8,2,0,137.5,11.0,0,26,23,0,5.75,,,4.0,2,0,Sunrisers Hyderabad
84,JJ Bumrah,5,3,0,0,166.67,5.0,0,322,341,24,6.56,14.21,13.42,52.0,9,1,Mumbai Indians
85,CH Morris,34,21,2,3,161.9,8.5,4,204,210,11,6.63,19.09,18.55,31.67,14,0,Royal Challengers Bangalore
86,SS Iyer,480,387,40,13,124.03,34.29,14,0,0,0,,,,0.0,0,0,Delhi Capitals
87,PP Chawla,0,0,0,0,,0.0,0,128,191,6,9.1,31.83,21.33,21.0,1,1,Chennai Super Kings
88,MS Dhoni,200,172,16,7,116.28,25.0,8,0,0,0,,,,0.0,0,0,Chennai Super Kings
89,J Yadav,0,0,0,0,,0.0,0,42,43,1,6.14,,42.0,7.0,0,0,Mumbai Indians
90,T Banton,18,20,1,1,90.0,9.0,2,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
91,SM Curran,186,141,12,12,131.91,23.25,8,265,344,13,8.19,26.46,20.38,42.0,11,2,Chennai Super Kings
92,S Kaul,0,0,0,0,,0.0,0,26,64,2,16.0,,13.0,4.0,1,1,Sunrisers Hyderabad
93,Gurkeerat Singh,71,80,8,0,88.75,71.0,0,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
94,AD Russell,108,69,8,9,156.52,13.5,8,101,146,6,9.12,24.33,16.83,16.0,4,1,Kolkata Knight Riders
95,S Dube,102,95,4,6,107.37,14.57,7,55,74,4,8.22,,13.75,9.0,1,0,Royal Challengers Bangalore
96,N Jagadeesan,33,29,4,0,113.79,16.5,2,0,0,0,,,,0.0,0,0,Chennai Super Kings
97,P Simran Singh,15,15,2,0,100.0,7.5,2,0,0,0,,,,0.0,0,0,Punjab Kings
98,Ravi Bishnoi,7,12,1,0,58.33,7.0,1,281,344,10,7.64,34.4,28.1,45.0,11,0,Punjab Kings
99,DR Sams,0,2,0,0,0.0,0.0,1,77,114,0,9.5,,,12.0,4,1,Delhi Capitals
100,RD Chahar,2,4,0,0,50.0,2.0,0,274,371,12,8.24,30.92,22.83,45.0,4,0,Mumbai Indians
101,WP Saha,214,153,24,5,139.87,71.33,3,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
102,VR Aaron,1,10,0,0,10.0,1.0,1,54,94,0,11.75,,,8.0,4,2,Rajasthan Royals
103,Shahbaz Ahmed,1,1,0,0,100.0,1.0,0,37,44,2,7.33,,18.5,6.0,1,0,Royal Challengers Bangalore
104,YBK Jaiswal,40,44,2,2,90.91,13.33,3,0,0,0,,,,0.0,0,0,Rajasthan Royals
105,SA Yadav,480,324,61,11,148.15,48.0,10,0,0,0,,,,0.0,0,0,Mumbai Indians
106,AM Rahane,113,107,12,2,105.61,14.12,8,0,0,0,,,,0.0,0,0,Delhi Capitals
107,KH Pandya,75,62,5,4,120.97,15.0,5,284,347,6,7.68,57.83,47.33,45.17,13,0,Mumbai Indians
108,F du Plessis,449,319,42,14,140.75,40.82,11,0,0,0,,,,0.0,0,0,Chennai Super Kings
109,DJ Bravo,7,6,0,0,116.67,3.5,2,135,180,6,8.57,30.0,22.5,21.0,9,0,Chennai Super Kings
110,BA Stokes,285,200,36,7,142.5,40.71,7,96,154,2,10.27,,48.0,15.0,4,2,Rajasthan Royals
111,DJ Hooda,78,55,4,4,141.82,78.0,1,0,0,0,,,,0.0,0,0,Punjab Kings
112,AT Rayudu,359,279,30,12,128.67,39.89,9,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
113,DA Warner,501,372,47,14,134.68,35.79,14,2,2,0,11.76,,,0.17,1,0,Sunrisers Hyderabad
114,Kuldeep Yadav,13,21,1,0,61.9,13.0,1,56,74,1,8.22,,56.0,9.0,1,1,Kolkata Knight Riders
115,SS Cottrell,0,2,0,0,0.0,0.0,1,106,152,4,9.5,38.0,26.5,16.0,10,0,Punjab Kings
116,KA Pollard,174,104,11,13,167.31,34.8,5,118,151,4,8.39,37.75,29.5,18.0,10,0,Mumbai Indians
117,RK Singh,11,11,1,0,100.0,11.0,1,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
118,GJ Maxwell,107,99,9,0,108.08,21.4,5,102,145,3,8.53,48.33,34.0,17.0,0,0,Punjab Kings
119,Abdul Samad,88,50,6,5,176.0,22.0,4,43,96,1,13.71,,43.0,7.0,1,0,Sunrisers Hyderabad
120,PP Shaw,223,158,26,8,141.14,18.58,12,0,0,0,,,,0.0,0,0,Delhi Capitals
121,MM Ali,12,16,1,0,75.0,4.0,3,32,42,1,8.4,,32.0,5.0,2,0,Royal Challengers Bangalore
122,CV Varun,10,15,0,0,66.67,5.0,2,289,324,16,6.75,20.25,18.06,48.0,1,0,Punjab Kings
123,AJ Finch,216,204,21,7,105.88,19.64,11,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
124,RG Sharma,315,244,25,18,129.1,31.5,10,0,0,0,,,,0.0,0,0,Mumbai Indians
125,TU Deshpande,21,12,2,1,175.0,21.0,1,110,192,3,11.29,64.0,36.67,17.0,7,1,Delhi Capitals
126,R Parag,86,77,6,3,111.69,12.29,7,13,27,0,13.5,,,2.0,1,0,Rajasthan Royals
127,Monu Kumar,0,0,0,0,,0.0,0,16,20,0,10.0,,,2.0,3,1,Chennai Super Kings
128,PK Garg,129,102,9,4,126.47,16.12,8,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
129,SN Khan,21,17,3,0,123.53,21.0,1,0,0,0,,,,0.0,0,0,Punjab Kings
130,JDS Neesham,19,18,0,1,105.56,9.5,2,93,148,2,9.87,,46.5,15.0,3,0,Punjab Kings
131,SPD Smith,311,235,32,9,132.34,25.92,12,0,0,0,,,,0.0,0,0,Rajasthan Royals
132,JL Pattinson,15,13,2,0,115.38,15.0,1,198,269,11,8.54,24.45,18.0,31.5,9,0,Mumbai Indians
133,M Ashwin,4,4,0,0,100.0,4.0,1,173,207,10,7.26,20.7,17.3,28.5,2,0,Punjab Kings
134,DS Kulkarni,3,2,0,0,150.0,3.0,0,20,22,0,7.33,,,3.0,2,0,Mumbai Indians
135,JC Buttler,328,227,27,16,144.49,32.8,10,0,0,0,,,,0.0,0,0,Rajasthan Royals
136,Abhishek Sharma,71,56,6,3,126.79,14.2,5,61,91,2,9.1,,30.5,10.0,1,0,Sunrisers Hyderabad
137,SS Tiwary,103,80,8,3,128.75,20.6,5,0,0,0,,,,0.0,0,0,Mumbai Indians
138,CJ Jordan,11,17,0,0,64.71,11.0,1,156,217,8,8.86,27.12,19.5,24.5,9,0,Punjab Kings
139,KL Nagarkoti,22,31,1,0,70.97,7.33,3,160,231,5,8.88,46.2,32.0,26.0,4,0,Kolkata Knight Riders
140,Mohammed Shami,2,3,0,0,66.67,2.0,1,283,421,15,9.22,28.07,18.87,45.67,9,0,Punjab Kings
141,Navdeep Saini,27,27,3,0,100.0,27.0,1,262,339,6,8.14,56.5,43.67,41.67,10,2,Royal Challengers Bangalore
142,HH Pandya,258,138,14,23,186.96,43.0,6,0,0,0,,,,0.0,0,0,Mumbai Indians
143,KV Sharma,0,0,0,0,,0.0,0,118,165,5,8.68,33.0,23.6,19.0,4,0,Chennai Super Kings
144,TA Boult,0,1,0,0,0.0,0.0,1,301,375,23,7.6,16.3,13.09,49.33,5,0,Mumbai Indians
145,HV Patel,21,24,2,0,87.5,10.5,2,98,134,3,8.93,,32.67,15.0,7,1,Delhi Capitals
146,JR Philippe,78,77,9,1,101.3,19.5,4,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
147,A Mishra,0,0,0,0,,0.0,0,61,72,3,7.2,,20.33,10.0,0,1,Delhi Capitals
148,I Sharma,0,0,0,0,,0.0,0,20,26,0,8.67,,,3.0,2,0,Delhi Capitals
