,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
41,TG Southee,52,46,5,1,113.04,26.0,2,183,261,5,9.0,52.2,36.6,29.0,8,1,Royal Challengers Bangalore
42,G Gambhir,85,88,8,1,96.59,17.0,5,0,0,0,,,,0.0,0,0,Mumbai Indians
43,RA Tripathi,226,166,18,8,136.14,25.11,9,0,0,0,,,,0.0,0,0,Rajasthan Royals
44,NV Ojha,1,4,0,0,25.0,1.0,1,0,0,0,,,,0.0,0,0,Delhi Capitals
45,MK Tiwary,47,44,4,1,106.82,15.67,3,7,10,0,10.0,,,1.0,1,0,Kings XI Punjab
46,Imran Tahir,2,2,0,0,100.0,2.0,0,126,191,6,9.24,31.83,21.0,20.67,2,0,Chennai Super Kings
47,RR Pant,684,394,68,37,173.6,52.62,13,0,0,0,,,,0.0,0,0,Delhi Capitals
48,Mohammed Siraj,25,22,2,1,113.64,12.5,2,264,367,11,8.95,33.36,24.0,41.0,18,0,Royal Challengers Bangalore
49,DJ Willey,0,0,0,0,,0.0,0,61,95,2,9.5,,30.5,10.0,1,0,Chennai Super Kings
50,AJ Tye,32,38,2,1,84.21,5.33,6,353,451,24,8.05,18.79,14.71,56.0,15,2,Kings XI Punjab
51,B Laughlin,1,4,0,0,25.0,1.0,1,134,211,9,10.05,23.44,14.89,21.0,7,1,Rajasthan Royals
