PLAYER,TEAM,batting id,bowling id,batting_contribution,bowling_contribution
Ashton Turner,Lucknow Super Giants,510,932,-0.2483000000000004,5.469799999999992
David Willey,Lucknow Super Giants,572,370,-0.777799999999985,-1.7556999999999905
Mohammed Arshad Khan,Lucknow Super Giants,541,-1,-1.2073000000000036,-0.0
Rohit Sharma,Mumbai Indians,236,165,-0.5647999999999911,7.118299999999991
Dewald Brevis,Mumbai Indians,578,452,-0.3503000000000043,0.5517999999999859
Suryakumar Yadav,Mumbai Indians,309,284,-0.5427999999999997,-1.073200000000014
Ishan Kishan,Mumbai Indians,411,-1,0.8667000000000087,-0.0
Tilak Verma,Mumbai Indians,-1,-1,0.0,-0.0
Tim David,Mumbai Indians,561,1257,-0.0542999999999835,-0.8507000000000176
Vishnu Vinod,Mumbai Indians,440,-1,-0.9202999999999976,-0.0
Arjun Tendulkar,Mumbai Indians,627,489,1.2841999999999985,-6.141199999999998
Shams Mulani,Mumbai Indians,-1,-1,0.0,-0.0
Nehal Wadhera,Mumbai Indians,613,-1,-0.665300000000002,-0.0
Jasprit Bumrah,Mumbai Indians,376,251,-1.0343000000000018,4.133800000000008
Kumar Kartikeya,Mumbai Indians,598,464,-0.5007999999999981,-5.966700000000003
Piyush Chawla,Mumbai Indians,68,17,0.1477000000000146,-3.145700000000005
Akash Madhwal,Mumbai Indians,-1,496,0.0,-7.842700000000008
Jason Behrendorff,Mumbai Indians,628,387,0.544700000000006,-4.097700000000003
Hardik Pandya,Mumbai Indians,401,305,0.0927000000000077,-6.348700000000008
Romario Shepherd,Mumbai Indians,571,444,-0.1843000000000074,-7.805700000000002
Gerald Coetzee,Mumbai Indians,-1,-1,0.0,-0.0
Dilshan Madushanka,Mumbai Indians,2727,2032,0.1881999999999948,1.7168000000000063
Shreyas Gopal,Mumbai Indians,389,291,-0.4952999999999861,-7.307199999999995
Nuwan Thushara,Mumbai Indians,2490,1453,-0.4643000000000086,-0.4087000000000103
Naman Dhir,Mumbai Indians,-1,-1,0.0,-0.0
Anshul Kamboj,Mumbai Indians,-1,-1,0.0,-0.0
Mohammad Nabi,Mumbai Indians,452,345,-0.8468000000000018,0.7578000000000031
Shivalik Sharma,Mumbai Indians,-1,1637,0.0,0.7447999999999979
Shikhar Dhawan,Punjab Kings,42,203,-0.5637999999999863,5.709299999999985
Liam Livingstone,Punjab Kings,508,393,-0.7352999999999952,1.2017999999999915
Jonny Bairstow,Punjab Kings,493,-1,-1.2168000000000063,-0.0
Jitesh Sharma,Punjab Kings,574,-1,0.5767000000000166,-0.0
Shivam Singh,Punjab Kings,1747,1810,-0.6663000000000068,-2.6111999999999966
Rahul Chahar,Punjab Kings,448,338,-0.2402999999999906,-4.368200000000002
Prabhsimran Singh,Punjab Kings,514,-1,0.2922000000000082,-0.0
Arshdeep Singh,Punjab Kings,536,396,0.286200000000008,1.5562999999999931
Harpreet Bhatia,Punjab Kings,-1,-1,0.0,-0.0
Harpreet Brar,Punjab Kings,511,398,-0.1162999999999954,-7.430200000000013
Atharva Taide,Punjab Kings,622,-1,-0.53479999999999,-0.0
Vidwath Kaverappa,Punjab Kings,-1,-1,0.0,-0.0
Rishi Dhawan,Punjab Kings,354,259,-0.1787999999999954,-5.484700000000004
Kagiso Rabada,Punjab Kings,454,347,0.3996999999999957,-2.2061999999999955
Sam Curran,Punjab Kings,498,381,0.7137000000000171,-0.1041999999999916
Nathan Ellis,Punjab Kings,556,436,-0.1142999999999858,7.4033000000000015
Sikandar Raza,Punjab Kings,606,474,-0.0223000000000013,4.426299999999998
Harshal Patel,Punjab Kings,312,226,0.4772000000000105,-0.2582000000000164
Chris Woakes,Punjab Kings,442,336,0.5767000000000166,-7.827200000000005
Ashutosh Sharma,Punjab Kings,3046,-1,-1.1607999999999947,-0.0
Vishwanath Pratap Singh,Punjab Kings,327,235,-0.3412999999999897,-2.812700000000006
Shashank Singh,Punjab Kings,590,456,0.928699999999992,-4.4687000000000126
Tanay Thyagarajan,Punjab Kings,-1,-1,0.0,-0.0
Prince Choudhary,Punjab Kings,-1,-1,0.0,-0.0
Rilee Rossouw,Punjab Kings,381,-1,-1.2812999999999874,-0.0
Sanju Samson,Rajasthan Royals,351,-1,0.5817000000000121,-0.0
Jos Buttler,Rajasthan Royals,408,-1,-0.0572999999999979,-0.0
Shimron Hetmyer,Rajasthan Royals,490,-1,0.4337000000000159,-0.0
Yashasvi Jaiswal,Rajasthan Royals,518,448,-0.0713000000000079,-0.4946999999999946
Dhruv Jurel,Rajasthan Royals,616,-1,0.6641999999999939,-0.0
Riyan Parag,Rajasthan Royals,505,392,-0.5043000000000006,-8.010700000000014
Donovan Ferreira,Rajasthan Royals,-1,-1,0.0,-0.0
Kunal Rathore,Rajasthan Royals,-1,-1,0.0,-0.0
Ravichandran Ashwin,Rajasthan Royals,202,146,-0.0142999999999915,0.6882999999999981
Kuldeep Sen,Rajasthan Royals,585,454,-0.9592999999999848,-18.699700000000007
Navdeep Saini,Rajasthan Royals,492,377,-0.5407999999999902,-9.851200000000006
Prasidh Krishna,Rajasthan Royals,-1,-1,0.0,-0.0
Sandeep Sharma,Rajasthan Royals,367,267,0.0356999999999914,-0.8322000000000003
Trent Boult,Rajasthan Royals,461,297,-1.1022999999999854,-3.182700000000011
Yuzvendra Chahal,Rajasthan Royals,383,268,0.3512000000000057,-0.0091999999999927
Adam Zampa,Rajasthan Royals,431,326,-1.425299999999993,7.086299999999994
Avesh Khan,Rajasthan Royals,500,354,0.4572000000000003,-5.84620000000001
Rovman Powell,Rajasthan Royals,564,453,0.3311999999999955,-7.0031999999999925
Shubham Dubey,Rajasthan Royals,-1,-1,0.0,-0.0
Tom Kohler Cadmore,Rajasthan Royals,-1,-1,0.0,-0.0
Nandre Burger,Rajasthan Royals,-1,-1,0.0,-0.0
Abid Mushtaq,Rajasthan Royals,-1,-1,0.0,-0.0
Faf du Plessis,Royal Challengers Bangalore,304,230,0.7216999999999985,2.5167999999999893
Glenn Maxwell,Royal Challengers Bangalore,306,220,-1.245299999999986,-4.763200000000012
Virat Kohli,Royal Challengers Bangalore,8,70,0.3357000000000028,-9.696200000000005
Rajat Patidar,Royal Challengers Bangalore,539,-1,0.1641999999999939,-0.0
Anuj Rawat,Royal Challengers Bangalore,560,-1,-1.1073000000000093,-0.0
Dinesh Karthik,Royal Challengers Bangalore,-1,-1,0.0,-0.0
Suyash Prabhudessai,Royal Challengers Bangalore,582,-1,0.0112000000000023,-0.0
Will Jacks,Royal Challengers Bangalore,2734,-1,0.0962000000000102,-0.0
Mahipal Lomror,Royal Challengers Bangalore,482,367,-0.199799999999982,-5.39070000000001
Karn Sharma,Royal Challengers Bangalore,600,263,-0.2027999999999963,-6.611199999999997
Manoj Bhandage,Royal Challengers Bangalore,-1,-1,0.0,-0.0
Vyshak Vijaykumar,Royal Challengers Bangalore,-1,-1,0.0,-0.0
Akash Deep,Royal Challengers Bangalore,583,441,-1.1063000000000045,-13.151200000000015
Mohammed Siraj,Royal Challengers Bangalore,474,346,-0.2648000000000081,-6.616199999999992
Reece Topley,Royal Challengers Bangalore,1098,478,-2.1688000000000045,-14.381200000000009
Himanshu Sharma,Royal Challengers Bangalore,-1,502,0.0,-0.2077000000000168
Rajan Kumar,Royal Challengers Bangalore,2527,1880,-1.1432999999999822,-4.054699999999997
Mayank Dagar,Royal Challengers Bangalore,-1,493,0.0,-0.8481999999999914
Cameron Green,Royal Challengers Bangalore,612,481,0.5751999999999953,-15.5317
Alzarri Joseph,Royal Challengers Bangalore,504,389,0.4247000000000014,-4.621700000000004
Yash Dayal,Royal Challengers Bangalore,588,455,0.216700000000003,-6.969700000000017
Tom Curran,Royal Challengers Bangalore,467,361,-0.003799999999984,-8.222700000000003
Lockie Ferguson,Royal Challengers Bangalore,447,344,-0.4672999999999945,-8.779699999999991
Swapnil Singh,Royal Challengers Bangalore,425,324,0.5356999999999914,-5.787200000000013
Saurav Chuahan,Royal Challengers Bangalore,-1,-1,0.0,-0.0
Abdul Samad,Sunrisers Hyderabad,521,413,-0.5103000000000009,-7.760199999999997
Aiden Markram,Sunrisers Hyderabad,553,432,-0.2597999999999842,-4.941200000000009
Rahul Tripathi,Sunrisers Hyderabad,443,351,0.0232000000000027,-0.4801999999999964
Glenn Phillips,Sunrisers Hyderabad,551,431,0.4327000000000112,-10.171700000000016
Heinrich Klaasen,Sunrisers Hyderabad,475,1426,0.6202000000000112,1.7013000000000034
Mayank Agarwal,Sunrisers Hyderabad,261,-1,0.4791999999999916,-0.0
Anmolpreet Singh,Sunrisers Hyderabad,559,132,0.6007000000000176,0.3542999999999949
Upendra Singh Yadav,Sunrisers Hyderabad,233,162,0.4557000000000073,-4.959699999999998
Nitish Kumar Reddy,Sunrisers Hyderabad,-1,-1,0.0,-0.0
Abhishek Sharma,Sunrisers Hyderabad,488,395,-0.4198000000000093,2.766300000000001
Marco Jansen,Sunrisers Hyderabad,538,420,-0.2172999999999945,-4.610199999999992
Washington Sundar,Sunrisers Hyderabad,456,348,0.2967000000000155,1.0138000000000034
Sanvir Singh,Sunrisers Hyderabad,635,1810,0.1322000000000116,-2.6111999999999966
Bhuvneshwar Kumar,Sunrisers Hyderabad,300,1643,0.0772000000000048,-3.778700000000015
T Natarajan,Sunrisers Hyderabad,533,337,-0.3228000000000008,-0.3052000000000134
Mayank Markande,Sunrisers Hyderabad,468,356,-1.0043000000000006,-10.036699999999996
Umran Malik,Sunrisers Hyderabad,577,429,-0.0953000000000088,-9.798200000000008
Fazalhaq Farooqi,Sunrisers Hyderabad,597,466,-0.5653000000000077,4.385799999999989
Shahbaz Ahmed,Sunrisers Hyderabad,529,412,0.6007000000000176,-17.0967
Travis Head,Sunrisers Hyderabad,418,333,-0.527799999999985,-14.780200000000008
Wanindu Hasaranga,Sunrisers Hyderabad,-1,-1,0.0,-0.0
Pat Cummins,Sunrisers Hyderabad,406,293,-0.3892999999999915,-4.643200000000007
Jaydev Unadkat,Sunrisers Hyderabad,368,174,-0.1872999999999933,-5.369200000000006
Akash Singh,Sunrisers Hyderabad,197,430,1.3141999999999996,-12.37469999999999
Jhathavedh Subramanyan,Sunrisers Hyderabad,-1,-1,0.0,-0.0
