PLAYER,TEAM,batting id,bowling id
Karn Sharma,Royal Challengers Bangalore,600,263
Manoj Bhandage,Royal Challengers Bangalore,-1,-1
Vyshak Vijaykumar,Royal Challengers Bangalore,-1,-1
Akash Deep,Royal Challengers Bangalore,583,441
Mohammed Siraj,Royal Challengers Bangalore,474,346
Reece Topley,Royal Challengers Bangalore,1098,478
Himanshu Sharma,Royal Challengers Bangalore,-1,502
Rajan Kumar,Royal Challengers Bangalore,2527,1880
Mayank Dagar,Royal Challengers Bangalore,-1,493
Cameron Green,Royal Challengers Bangalore,612,481
Alzarri Joseph,Royal Challengers Bangalore,504,389
Yash Dayal,Royal Challengers Bangalore,588,455
Tom Curran,Royal Challengers Bangalore,467,361
Lockie Ferguson,Royal Challengers Bangalore,447,344
Swapnil Singh,Royal Challengers Bangalore,425,324
Saurav Chuahan,Royal Challengers Bangalore,-1,-1
Abdul Samad,Sunrisers Hyderabad,521,413
Aiden Markram,Sunrisers Hyderabad,553,432
Rahul Tripathi,Sunrisers Hyderabad,443,351
Glenn Phillips,Sunrisers Hyderabad,551,431
Heinrich Klaasen,Sunrisers Hyderabad,475,1426
Mayank Agarwal,Sunrisers Hyderabad,261,-1
Anmolpreet Singh,Sunrisers Hyderabad,559,132
Upendra Singh Yadav,Sunrisers Hyderabad,233,162
Nitish Kumar Reddy,Sunrisers Hyderabad,-1,-1
Abhishek Sharma,Sunrisers Hyderabad,488,395
Marco Jansen,Sunrisers Hyderabad,538,420
Washington Sundar,Sunrisers Hyderabad,456,348
Sanvir Singh,Sunrisers Hyderabad,635,1810
Bhuvneshwar Kumar,Sunrisers Hyderabad,300,1643
T Natarajan,Sunrisers Hyderabad,533,337
Mayank Markande,Sunrisers Hyderabad,468,356
Umran Malik,Sunrisers Hyderabad,577,429
Fazalhaq Farooqi,Sunrisers Hyderabad,597,466
Shahbaz Ahmed,Sunrisers Hyderabad,529,412
Travis Head,Sunrisers Hyderabad,418,333
Wanindu Hasaranga,Sunrisers Hyderabad,-1,-1
Pat Cummins,Sunrisers Hyderabad,406,293
Jaydev Unadkat,Sunrisers Hyderabad,368,174
Akash Singh,Sunrisers Hyderabad,197,430
Jhathavedh Subramanyan,Sunrisers Hyderabad,-1,-1
