PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance,batting id,bowling id,batting erd,bowling erd
Rithik Easwaran,Indian,Batter,0.0,2108651.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Rohan Kunnummal,Indian,Batter,0.0,2113291.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Salman Nizar,Indian,Batter,0.0,2114451.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Saurav Chuahan,Indian,Batter,0.0,2115872.5,2000000.0,0.0,0.324137867,-1,-1,0.0,-0.0
Subhranshu Senapati,Indian,Batter,0.0,2114451.8,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Sudip Gharami,Indian,Batter,0.0,2115872.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Sumeet Verma,Indian,Batter,0.0,2122572.0,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Swastik Chhikara,Indian,Batter,0.0,2115872.5,2000000.0,0.0,0.324137867,-1,-1,0.0,-0.0
Tanmay Mishra,Indian,Batter,1.0,2991941.0,0.0,2000000.0,0.324137867,696,765,0.2787000000000148,3.272799999999989
Baba Indrajith,Indian,Wicket-Keeper,0.0,2285968.5,0.0,2000000.0,0.322808692,591,-1,-0.2802999999999827,-0.0
David Wiese,Overseas,All-Rounder,1.0,17747666.0,0.0,10000000.0,0.316350099,402,303,0.5217000000000098,3.082300000000004
Raj Angad Bawa,Indian,All-Rounder,0.0,2267550.8,0.0,2000000.0,0.315972611,566,-1,-0.3602999999999952,-0.0
Duan Jansen,Overseas,All-Rounder,1.0,7989307.0,0.0,2000000.0,0.314688753,2621,490,0.6947000000000116,-6.898699999999991
Jason Holder,Overseas,All-Rounder,1.0,27253400.0,0.0,15000000.0,0.307516715,392,265,-0.0032999999999958,-1.5707000000000164
Odean Smith,Overseas,All-Rounder,1.0,14362728.0,0.0,5000000.0,0.28997336,567,440,-0.7267999999999972,-4.901700000000005
Tom Curran,Overseas,All-Rounder,1.0,12891292.0,15000000.0,0.0,0.286161853,467,361,-0.003799999999984,-8.222700000000003
Keemo Paul,Overseas,All-Rounder,1.0,12765223.0,0.0,7500000.0,0.282537361,494,380,0.676700000000011,-4.026700000000005
George Garton,Overseas,All-Rounder,1.0,3981880.8,0.0,5000000.0,0.281029972,552,433,0.0126999999999952,-13.94319999999999
Avanish Rao Aravelly,Indian,Wicket-Keeper,0.0,2113026.8,2000000.0,0.0,0.277136011,-1,-1,0.0,-0.0
William Salzmann,Overseas,Wicket-Keeper,0.0,2116039.5,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Anmol Malhotra,Indian,Wicket-Keeper,0.0,2113926.0,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Avneesh Sudha,Indian,Wicket-Keeper,0.0,2106965.8,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
B.R. Sharath,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Bhagmender Lather,Indian,Wicket-Keeper,0.0,2111606.0,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Bipin Saurabh,Indian,Wicket-Keeper,0.0,2109285.8,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Darshan Misal,Indian,Wicket-Keeper,0.0,2117405.8,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
G. Ajitesh,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Gourav Choudhary,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Harvik Desai,Indian,Wicket-Keeper,0.0,2109286.0,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
K.L. Shrijith,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
L.R. Chethan,Indian,Wicket-Keeper,0.0,2108125.5,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Mahesh Pithiya,Indian,Wicket-Keeper,0.0,2106965.8,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Mohit Ahlawat,Indian,Wicket-Keeper,0.0,2113926.0,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Nihal Ullal,Indian,Wicket-Keeper,0.0,2116246.0,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Philip Salt,Overseas,Wicket-Keeper,1.0,14558553.0,0.0,15000000.0,0.277136011,624,-1,0.3452000000000055,-0.0
Prasad Pawar,Indian,Wicket-Keeper,0.0,2113926.0,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Robin Minz,Indian,Wicket-Keeper,0.0,2105805.8,36000000.0,0.0,0.277136011,-1,-1,0.0,-0.0
Shakir Gandhi,Indian,Wicket-Keeper,0.0,2109286.0,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Sumit Ghadigaonkar,Indian,Wicket-Keeper,0.0,2117405.8,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Urvil Patel,Indian,Wicket-Keeper,0.0,2110446.0,0.0,2000000.0,0.277136011,-1,-1,0.0,-0.0
Vishnu Solanki,Indian,Wicket-Keeper,1.0,3690989.5,0.0,2000000.0,0.277136011,642,-1,-0.7143000000000086,-0.0
Wayne Parnell,Overseas,Bowler,1.0,20410150.0,0.0,10000000.0,0.275016796,268,192,-0.9163000000000068,-2.224700000000013
Ravi Teja,Indian,All-Rounder,0.0,2120133.5,0.0,2000000.0,0.274429165,-1,-1,0.0,-0.0
Mohammad Kaif,Indian,All-Rounder,0.0,2371265.0,0.0,2000000.0,0.273509163,33,-1,-1.172300000000007,-0.0
Matthew Forde,Overseas,All-Rounder,0.0,2114126.8,0.0,5000000.0,0.271674942,-1,-1,0.0,-0.0
Kumar Kushagra,Indian,Wicket-Keeper,0.0,2103485.5,72000000.0,0.0,0.270343243,-1,-1,0.0,-0.0
Ashton Agar,Overseas,All-Rounder,1.0,16290735.0,0.0,10000000.0,0.262238387,1201,871,0.4277000000000157,0.1218000000000074
Matt Henry,Overseas,Bowler,1.0,6557423.5,0.0,7500000.0,0.262231873,1176,353,-0.9643000000000086,-0.3421999999999912
Corbin Bosch,Overseas,All-Rounder,0.0,2123406.5,0.0,3000000.0,0.259994086,-1,-1,0.0,-0.0
Jalaj Saxena,Indian,All-Rounder,0.0,2065508.0,0.0,4000000.0,0.251578827,-1,426,0.0,-0.2771999999999934
M. Siddharth,Indian,Bowler,0.0,2125070.2,24000000.0,0.0,0.250982636,-1,-1,0.0,-0.0
Kyle Jamieson,Overseas,Bowler,1.0,10836459.0,0.0,10000000.0,0.249623973,540,419,-1.1537999999999895,-17.05770000000001
Sean Abbott,Overseas,All-Rounder,1.0,6084799.0,0.0,20000000.0,0.245707699,398,298,-0.0202999999999917,-6.531700000000001
Aarya Desai,Indian,All-Rounder,0.0,2101572.5,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Abid Mushtaq,Indian,All-Rounder,0.0,2108533.0,2000000.0,0.0,0.23946486,-1,-1,0.0,-0.0
Akash Sengupta,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Akash Vashisht,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Aman Khan,Indian,All-Rounder,1.0,7974187.5,0.0,2000000.0,0.23946486,586,457,0.2562000000000068,0.0833000000000083
Aniketh Reddy,Indian,All-Rounder,0.0,2502531.5,0.0,2000000.0,0.23946486,326,238,-0.4772999999999854,-2.764700000000005
Ansh Patel,Indian,All-Rounder,0.0,9144016.0,0.0,2000000.0,0.23946486,3010,2238,1.4797000000000082,0.283299999999997
Aradhya Shukla,Indian,All-Rounder,1.0,3291579.8,0.0,2000000.0,0.23946486,2701,2013,1.272199999999998,-2.121700000000004
Ashwin Das,Indian,All-Rounder,0.0,2110853.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Atal Rai,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Atharva Ankolekar,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Atit Sheth,Indian,All-Rounder,0.0,2109693.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Baba Aparajith,Indian,All-Rounder,0.0,2112013.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Dev Lakra,Indian,All-Rounder,0.0,2101572.5,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Divij Mehra,Indian,All-Rounder,0.0,2102733.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Harsh Dubey,Indian,All-Rounder,0.0,2102733.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Jass Inder Baidwan,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Jitender Pal,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Kaushal Tambe,Indian,All-Rounder,0.0,2102733.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Kaushik Maity,Indian,All-Rounder,0.0,2106213.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Mani Sankar Mura Singh,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Manvanth Kumar,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Mohd Arslan Khan,Indian,All-Rounder,0.0,2835830.5,0.0,2000000.0,0.23946486,541,-1,-1.2073000000000036,-0.0
Mohd. Arshad Khan,Indian,All-Rounder,0.0,2835830.5,2000000.0,0.0,0.23946486,541,-1,-1.2073000000000036,-0.0
Mohit Rathee,Indian,All-Rounder,0.0,2263706.5,0.0,2000000.0,0.23946486,619,485,-0.5688000000000102,-0.950700000000012
Mohit Redkar,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Murugan Abhishek,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Musheer Khan,Indian,All-Rounder,0.0,2825128.8,0.0,2000000.0,0.23946486,541,-1,-1.2073000000000036,-0.0
Nasir Lone,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
Ninad Rathva,Indian,All-Rounder,0.0,2106213.0,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
P.A. Abdul,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486,-1,-1,0.0,-0.0
