player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
DA Warner,Delhi Capitals,516,391,69,10,13197,3686,14,1,1,1,1,1,1,1,1,0
I Sharma,Delhi Capitals,1,1,1,1,1000,10,1,157,206,10,824,206,157,250,6,1
KK Ahmed,Delhi Capitals,1,1,1,1,1,1,1,212,301,9,912,3344,2356,330,12,2
Kuldeep Yadav,Delhi Capitals,31,48,2,1,6458,155,2,300,362,10,739,362,300,490,6,0
Lalit Yadav,Delhi Capitals,66,59,8,1,11186,132,5,82,118,2,908,590,410,130,4,0
MK Pandey,Delhi Capitals,160,145,15,3,11034,1778,9,1,1,1,1,1,1,1,1,0
MR Marsh,Delhi Capitals,128,97,11,7,13196,1422,9,132,170,12,843,1417,110,2017,10,1
Mukesh Kumar,Delhi Capitals,7,9,1,1,7778,70,1,197,326,8,1052,4075,2462,310,10,1
Mustafizur Rahman,Delhi Capitals,1,1,1,1,1000,10,1,42,79,1,1129,1,420,70,1,0
P Dubey,Delhi Capitals,16,20,2,1,800,160,1,19,19,1,633,1,190,30,1,0
PD Salt,Delhi Capitals,218,133,24,10,16391,2725,8,1,1,1,1,1,1,1,1,0
PK Garg,Delhi Capitals,22,22,1,1,1000,110,2,1,1,1,1,1,1,1,1,0
PP Shaw,Delhi Capitals,106,84,16,1,12619,1325,8,1,1,1,1,1,1,1,1,0
R Powell,Delhi Capitals,7,9,1,1,7778,233,3,14,18,1,90,1,140,20,1,1
RR Rossouw,Delhi Capitals,209,140,17,11,14929,2986,7,1,1,1,1,1,1,1,1,0
RV Patel,Delhi Capitals,49,43,3,1,11395,1633,3,1,1,1,1,1,1,1,1,0
SN Khan,Delhi Capitals,53,61,4,1,8689,1325,4,1,1,1,1,1,1,1,1,0
YV Dhull,Delhi Capitals,16,23,1,1,6957,533,3,1,1,1,1,1,1,1,1,0
A Manohar,Gujarat Titans,114,83,6,7,13735,190,6,1,1,1,1,1,1,1,1,0
B Sai Sudharsan,Gujarat Titans,362,253,33,12,14308,5171,7,1,1,1,1,1,1,1,1,0
DA Miller,Gujarat Titans,259,178,18,13,14551,3238,8,1,1,1,1,1,1,1,1,0
DJ Willey,Gujarat Titans,35,32,4,1,10938,350,1,94,105,3,70,350,3133,150,4,0
HH Pandya,Gujarat Titans,346,251,26,15,13785,3145,11,156,237,3,948,790,520,250,5,1
HV Patel,Gujarat Titans,6,6,1,1,1000,30,2,302,457,14,972,3264,2157,470,15,5
Shubman Gill,Gujarat Titans,890,560,85,33,15893,5933,15,1,1,1,1,1,1,1,1,0
WP Saha,Gujarat Titans,371,285,47,8,13018,2319,16,1,1,1,1,1,1,1,1,0
AS Joseph,Gujarat Titans,7,12,1,1,5833,70,1,150,225,7,938,3214,2143,240,6,0
DG Nalkande,Gujarat Titans,1,1,1,1,1,1,1,25,44,1,110,1,250,40,1,1
J Little,Gujarat Titans,1,1,1,1,1,1,1,211,294,7,865,420,3014,340,7,0
J Yadav,Gujarat Titans,1,1,1,1,1,1,1,24,26,1,65,1,1,40,1,0
MD Shanaka,Gujarat Titans,26,26,2,1,1000,130,2,1,1,1,1,1,1,1,1,0
MM Sharma,Gujarat Titans,1,1,1,1,1,1,1,268,361,27,817,1337,993,4417,3,0
Mohammed Shami,Gujarat Titans,5,6,1,1,8333,25,2,403,522,28,803,1864,1439,650,11,2
Noor Ahmad,Gujarat Titans,8,9,1,1,8889,40,2,299,372,16,789,2325,1869,4717,15,1
R Tewatia,Gujarat Titans,87,57,3,7,15263,2175,4,14,15,1,691,1,1,217,1,0
Rashid Khan,Gujarat Titans,130,60,8,13,21667,325,4,407,552,27,824,2044,1507,670,5,0
V Shankar,Gujarat Titans,301,187,27,15,16096,3762,8,1,1,1,1,1,1,1,1,0
Yash Dayal,Gujarat Titans,1,1,1,1,1,1,1,88,165,2,1179,825,440,140,4,0
AD Russell,Kolkate Knight Riders,227,155,13,18,14645,2064,11,99,172,7,1134,2457,1414,1517,5,3
AS Roy,Kolkate Knight Riders,23,19,3,1,12105,115,2,51,65,3,812,2167,170,80,3,0
D Wiese,Kolkate Knight Riders,21,11,1,3,19091,210,1,18,38,1,1267,1,1,30,1,0
Harshit Rana,Kolkate Knight Riders,1,1,1,1,1,1,1,108,147,5,865,294,216,170,5,1
JJ Roy,Kolkate Knight Riders,285,187,36,12,15241,3562,8,1,1,1,1,1,1,1,1,0
K Khejroliya,Kolkate Knight Riders,1,1,1,1,1,1,1,28,64,2,1478,1,140,433,1,2
LH Ferguson,Kolkate Knight Riders,1,1,1,1,1,1,1,50,96,1,1252,1,500,767,2,2
Liton Das,Kolkate Knight Riders,4,4,1,1,1000,40,1,1,1,1,1,1,1,1,1,0
Mandeep Singh,Kolkate Knight Riders,14,16,1,1,875,467,3,1,1,1,1,1,1,1,1,0
N Jagadeesan,Kolkate Knight Riders,89,81,14,1,10988,1483,6,1,1,1,1,1,1,1,1,0
N Rana,Kolkate Knight Riders,413,291,39,20,14192,3177,13,54,75,3,849,250,180,883,1,0
Rahmanullah Gurbaz,Kolkate Knight Riders,227,169,17,15,13432,2064,11,1,1,1,1,1,1,1,1,0
RK Singh,Kolkate Knight Riders,474,313,31,29,15144,5925,8,1,1,1,1,1,1,1,1,0
SN Thakur,Kolkate Knight Riders,113,70,13,4,16143,1412,8,132,220,7,1048,3143,1886,210,4,2
SP Narine,Kolkate Knight Riders,21,25,2,1,840,30,7,296,386,11,804,3509,2691,480,8,0
Suyash Sharma,Kolkate Knight Riders,1,1,1,1,1,1,1,239,327,10,838,327,239,390,4,1
TG Southee,Kolkate Knight Riders,1,1,1,1,1,1,1,36,79,2,1317,1,180,60,1,0
UT Yadav,Kolkate Knight Riders,19,18,1,1,10556,95,2,116,189,1,995,1890,1160,190,2,0
VG Arora,Kolkate Knight Riders,3,2,1,1,1500,30,1,107,146,5,912,292,214,160,7,4
VR Iyer,Kolkate Knight Riders,404,276,32,21,14638,2886,14,1,1,1,1,1,1,1,1,0
CV Varun,Kolkate Knight Riders,1,9,1,1,1111,10,1,323,436,20,828,218,1615,5267,7,0
A Mishra,Lucknow Super Giants,19,30,2,1,6333,190,1,115,149,7,784,2129,1643,190,1,0
A Badoni,Lucknow Super Giants,179,138,11,8,12971,179,10,1,1,1,1,1,1,17,1,0
Avesh Khan,Lucknow Super Giants,1,1,1,1,1,1,1,176,284,8,979,355,220,290,2,0
DJ Hooda,Lucknow Super Giants,84,90,3,2,9333,764,11,6,8,1,80,1,1,10,1,0
JD Unadkat,Lucknow Super Giants,9,7,1,1,12857,90,1,52,92,1,115,1,1,80,4,0
K Gowtham,Lucknow Super Giants,60,33,2,5,18182,200,3,100,118,3,738,3933,3333,160,4,0
KH Pandya,Lucknow Super Giants,188,163,15,6,11534,188,10,253,316,9,752,3511,2811,420,1,0
KL Rahul,Lucknow Super Giants,274,241,28,4,11369,3425,8,1,1,1,1,1,1,1,1,0
KR Mayers,Lucknow Super Giants,365,241,36,22,15145,3042,12,46,59,1,843,1,1,70,2,2
KS Sharma,Lucknow Super Giants,3,5,1,1,600,30,1,1,1,1,1,1,1,1,1,0
MA Wood,Lucknow Super Giants,11,5,1,1,2200,110,1,102,136,11,85,1236,927,160,5,1
Mohsin Khan,Lucknow Super Giants,1,7,1,1,1,1,1,64,110,3,110,3667,2133,100,4,0
MP Stoinis,Lucknow Super Giants,402,267,27,27,15056,335,12,69,100,5,923,200,138,1083,4,0
N Pooran,Lucknow Super Giants,338,176,26,26,19205,3073,11,1,1,1,1,1,1,1,1,0
Naveen-ul-Haq,Lucknow Super Giants,16,20,2,1,800,160,1,175,222,11,793,2018,1591,280,5,2
PN Mankad,Lucknow Super Giants,93,71,12,2,13099,310,3,1,1,1,1,1,1,1,1,0
Q de Kock,Lucknow Super Giants,143,101,10,8,14158,3575,4,1,1,1,1,1,1,1,1,0
R Shepherd,Lucknow Super Giants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Ravi Bishnoi,Lucknow Super Giants,20,27,1,1,7407,667,3,312,391,16,774,2444,195,505,7,2
Swapnil Singh,Lucknow Super Giants,2,4,1,1,500,20,1,12,18,1,90,1,1,20,1,0
Yash Thakur,Lucknow Super Giants,1,1,1,1,1,1,1,207,290,13,911,2231,1592,3183,14,2
Yudhvir Singh,Lucknow Super Giants,1,2,1,1,500,5,2,50,71,3,888,1,1667,80,2,0
Akash Madhwal,Mumbai Indians,1,1,1,1,1,1,1,160,219,15,859,146,1067,255,2,5
Arjun Tendulkar,Mumbai Indians,13,9,1,1,14444,130,1,68,92,3,936,3067,2267,983,8,1
Arshad Khan,Mumbai Indians,18,15,1,1,1200,90,2,97,190,5,1341,380,194,1417,12,0
C Green,Mumbai Indians,452,279,40,22,16201,5022,9,239,361,6,95,6017,3983,380,10,1
CJ Jordan,Mumbai Indians,6,12,1,1,500,30,2,140,238,3,1082,7933,4667,220,8,0
D Jansen,Mumbai Indians,1,1,1,1,1,1,1,28,53,1,1325,1,280,40,4,0
HR Shokeen,Mumbai Indians,23,17,4,1,13529,230,1,119,188,3,989,6267,3967,190,3,2
Ishan Kishan,Mumbai Indians,454,318,54,18,14277,3027,15,1,1,1,1,1,1,1,1,0
JC Archer,Mumbai Indians,4,4,1,1,1000,40,1,129,196,2,98,980,645,200,7,2
JP Behrendorff,Mumbai Indians,6,9,1,1,6667,60,1,262,391,14,931,2793,1871,420,10,0
K Kartikeya,Mumbai Indians,6,7,1,1,8571,60,1,163,227,5,873,454,326,260,7,0
N Wadhera,Mumbai Indians,241,165,23,12,14606,2678,9,1,1,1,1,1,1,1,1,0
PP Chawla,Mumbai Indians,25,22,1,1,11364,125,2,371,498,22,816,2264,1686,610,5,0
R Goyal,Mumbai Indians,1,1,1,1,1,1,1,24,33,1,825,1,1,40,1,0
RG Sharma,Mumbai Indians,332,248,35,17,13387,2075,16,1,1,1,1,1,1,1,1,0
RP Meredith,Mumbai Indians,1,2,1,1,1,1,1,126,207,7,1052,2957,180,1967,7,1
SA Yadav,Mumbai Indians,605,332,65,28,18223,4321,14,1,1,1,1,1,1,1,1,0
T Stubbs,Mumbai Indians,25,31,2,1,8065,125,2,12,14,1,70,1,120,20,1,0
TH David,Mumbai Indians,231,145,12,15,15931,2567,9,1,1,1,1,1,1,1,1,0
Vishnu Vinod,Mumbai Indians,37,30,2,2,12333,1233,3,1,1,1,1,1,1,1,1,0
Arshdeep Singh,Punjab Kings,2,2,1,1,1000,20,1,324,493,17,97,290,1906,5083,19,0
Atharva Taide,Punjab Kings,186,129,20,6,14419,2657,7,1,1,1,1,1,1,1,1,0
Gurnoor Brar,Punjab Kings,1,1,1,1,1,1,1,21,42,1,140,1,1,30,1,2
Harpreet Brar,Punjab Kings,52,41,5,2,12683,867,6,166,218,9,802,2422,1844,2717,3,0
K Rabada,Punjab Kings,1,2,1,1,1,1,1,147,238,7,1035,340,210,230,6,3
LS Livingstone,Punjab Kings,279,166,20,19,16807,3488,8,42,94,2,1343,1,210,70,1,0
Mohit Rathee,Punjab Kings,1,2,1,1,500,10,1,12,29,1,145,1,1,20,1,0
NT Ellis,Punjab Kings,1,7,1,1,1429,5,2,233,339,13,892,2608,1792,380,3,2
R Dhawan,Punjab Kings,20,12,1,1,16667,100,2,42,63,1,90,1,420,70,1,0
RD Chahar,Punjab Kings,1,9,1,1,1,1,2,301,385,8,775,4812,3762,4967,3,0
Sikandar Raza,Punjab Kings,139,98,10,6,14184,278,5,76,122,3,1017,4067,2533,120,3,1
SM Curran,Punjab Kings,276,201,20,13,13731,276,10,299,492,10,1029,492,299,4783,11,1
Harpreet Singh,Punjab Kings,76,58,8,3,13103,2533,3,1,1,1,1,1,1,1,1,0
JM Sharma,Punjab Kings,309,196,22,21,15765,2377,13,1,1,1,1,1,1,1,1,0
M Shahrukh Khan,Punjab Kings,156,93,13,9,16774,2229,7,1,1,1,1,1,1,1,1,0
MW Short,Punjab Kings,117,92,15,4,12717,195,6,25,25,1,625,1,1,40,1,0
P Simran Singh,Punjab Kings,358,238,38,19,15042,2557,14,1,1,1,1,1,1,1,1,0
S Dhawan,Punjab Kings,373,258,49,12,14457,4144,9,1,1,1,1,1,1,1,1,0
A Zampa,Rajasthan Royals,10,16,1,1,625,333,3,133,188,8,855,235,1662,220,1,0
Abdul Basith,Rajasthan Royals,1,1,1,1,1000,10,1,1,1,1,1,1,1,1,1,0
D Padikkal,Rajasthan Royals,261,200,31,6,1305,261,10,1,1,1,1,1,1,1,1,0
Dhruv Jurel,Rajasthan Royals,152,88,11,9,17273,2171,7,1,1,1,1,1,1,1,1,0
JC Buttler,Rajasthan Royals,392,281,42,14,1395,280,14,1,1,1,1,1,1,1,1,0
JE Root,Rajasthan Royals,10,15,1,1,6667,100,1,12,14,1,70,1,1,20,1,0
JO Holder,Rajasthan Royals,12,11,1,1,10909,60,2,176,284,4,996,710,440,285,5,0
K Yadav,Rajasthan Royals,1,1,1,1,1,1,1,42,68,2,971,1,210,70,1,0
KM Asif,Rajasthan Royals,1,2,1,1,1,1,1,91,138,3,986,460,3033,140,6,1
KR Sen,Rajasthan Royals,1,1,1,1,1,1,1,19,28,1,933,1,1,30,1,1
M Ashwin,Rajasthan Royals,1,1,1,1,1,1,1,25,53,1,1325,1,1,40,1,1
Navdeep Saini,Rajasthan Royals,1,1,1,1,1,1,1,25,40,3,100,1,833,40,1,0
OC McCoy,Rajasthan Royals,1,1,1,1,1,1,1,7,13,1,130,1,1,10,1,0
R Ashwin,Rajasthan Royals,67,51,5,3,13137,1117,6,309,368,14,751,2629,2207,490,15,0
R Parag,Rajasthan Royals,78,65,4,5,1200,130,6,1,1,1,1,1,1,1,1,0
Sandeep Sharma,Rajasthan Royals,2,6,1,1,3333,20,1,290,397,10,863,397,290,460,10,4
SO Hetmyer,Rajasthan Royals,299,196,12,23,15255,3738,8,1,1,1,1,1,1,1,1,0
SV Samson,Rajasthan Royals,362,236,25,24,15339,3017,12,1,1,1,1,1,1,1,1,0
TA Boult,Rajasthan Royals,16,14,1,1,11429,160,1,235,312,13,821,240,1808,380,7,0
YBK Jaiswal,Rajasthan Royals,625,381,83,26,16404,4808,13,1,1,1,1,1,1,1,1,0
YS Chahal,Rajasthan Royals,1,1,1,1,1,1,1,326,432,21,818,2057,1552,5283,9,0
Akash Deep,Royal Challengers Bangalore,17,8,2,1,2125,170,1,33,62,1,124,1,330,50,1,2
Anuj Rawat,Royal Challengers Bangalore,91,71,6,4,12817,3033,3,1,1,1,1,1,1,1,1,0
F du Plessis,Royal Challengers Bangalore,730,472,60,36,15466,5615,13,1,1,1,1,1,1,1,1,0
GJ Maxwell,Royal Challengers Bangalore,400,218,29,31,18349,3333,12,64,94,3,91,3133,2133,1033,2,0
JR Hazlewood,Royal Challengers Bangalore,1,2,1,1,500,10,1,57,76,3,844,2533,190,90,1,2
KD Karthik,Royal Challengers Bangalore,140,104,13,5,13462,1167,12,1,1,1,1,1,1,1,1,0
KM Jadhav,Royal Challengers Bangalore,12,10,1,1,1200,120,1,1,1,1,1,1,1,1,1,0
KV Sharma,Royal Challengers Bangalore,3,5,1,1,600,15,2,132,227,10,1056,227,132,215,3,0
MG Bracewell,Royal Challengers Bangalore,58,47,6,1,1234,290,2,66,95,6,864,1583,110,110,1,0
MK Lomror,Royal Challengers Bangalore,135,96,9,8,14062,1688,8,12,17,0,85,1,1,20,1,0
Mohammed Siraj,Royal Challengers Bangalore,1,2,1,1,500,10,1,329,384,19,768,2021,1732,500,27,2
RJW Topley,Royal Challengers Bangalore,1,1,1,1,1,1,1,12,14,1,70,1,120,20,1,0
Shahbaz Ahmed,Royal Challengers Bangalore,42,39,3,1,10769,105,4,42,95,1,1357,1,420,70,1,0
SS Prabhudessai,Royal Challengers Bangalore,35,29,1,2,12069,875,4,1,1,1,1,1,1,1,1,0
V Kohli,Royal Challengers Bangalore,639,457,65,16,13982,5325,12,1,1,1,1,1,1,1,1,0
Vijaykumar Vyshak,Royal Challengers Bangalore,13,9,1,1,14444,130,1,153,253,9,1054,2811,170,240,8,1
WD Parnell,Royal Challengers Bangalore,2,5,1,1,400,20,1,157,236,9,938,2622,1744,2517,5,1
H Sharma,Royal Challengers Bangalore,1,1,1,1,1,1,1,18,31,1,1033,1,1,30,1,0
PWH de Silva,Royal Challengers Bangalore,33,28,3,1,11786,165,2,175,258,9,89,2867,1944,290,1,0
Abdul Samad,Sunrisers Hyderabad,169,125,10,11,1352,4225,4,1,1,1,1,1,1,1,1,0
Abhishek Sharma,Sunrisers Hyderabad,226,156,28,6,14487,2055,11,75,125,2,1042,625,375,120,3,0
AJ Hosein,Sunrisers Hyderabad,16,10,1,1,1600,160,1,24,40,1,100,1,240,40,1,0
AK Markram,Sunrisers Hyderabad,248,197,18,8,12589,2255,11,49,70,1,857,1,490,817,1,0
Anmolpreet Singh,Sunrisers Hyderabad,105,82,15,2,12805,2625,4,1,1,1,1,1,1,1,1,0
AU Rashid,Sunrisers Hyderabad,22,15,2,1,14667,110,2,42,56,2,80,1,210,70,1,0
B Kumar,Sunrisers Hyderabad,42,47,4,1,8936,140,3,319,425,16,833,2656,1994,510,13,0
Fazalhaq Farooqi,Sunrisers Hyderabad,1,5,1,1,200,10,1,86,117,4,878,2925,215,1333,6,0
GD Phillips,Sunrisers Hyderabad,39,22,2,4,17727,78,5,18,20,1,667,1,180,30,1,0
H Klaasen,Sunrisers Hyderabad,448,251,32,25,17849,4978,9,1,1,1,1,1,1,1,1,0
HC Brook,Sunrisers Hyderabad,190,153,23,4,12418,2111,9,1,1,1,1,1,1,1,1,0
Kartik Tyagi,Sunrisers Hyderabad,1,1,1,1,1,1,1,44,92,1,1491,1,440,617,3,4
M Jansen,Sunrisers Hyderabad,39,43,4,1,907,130,3,178,270,10,100,270,178,270,11,5
M Markande,Sunrisers Hyderabad,21,13,2,1,16154,210,1,230,300,12,789,250,1917,380,2,0
MA Agarwal,Sunrisers Hyderabad,270,208,29,6,12981,270,10,1,1,1,1,1,1,1,1,0
Mayank Dagar,Sunrisers Hyderabad,1,1,1,1,1,1,1,66,83,1,755,830,660,110,1,0
Nithish Kumar Reddy,Sunrisers Hyderabad,1,1,1,1,1,1,1,31,54,1,108,1,1,50,1,1
RA Tripathi,Sunrisers Hyderabad,273,212,29,10,12877,2275,12,1,1,1,1,1,1,1,1,0
Sanvir Singh,Sunrisers Hyderabad,11,9,1,1,12222,110,1,1,1,1,1,1,1,1,1,0
T Natarajan,Sunrisers Hyderabad,1,1,1,1,1,1,1,276,413,10,918,413,276,450,6,0
Umran Malik,Sunrisers Hyderabad,19,7,1,2,27143,190,1,124,217,5,1085,434,248,200,4,0
Vivrant Sharma,Sunrisers Hyderabad,69,47,9,2,14681,690,1,21,37,1,1233,1,1,30,2,1
Washington Sundar,Sunrisers Hyderabad,60,60,6,1,1000,150,4,106,146,3,826,4867,3533,1767,1,0
