PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance
Matt Henry,Overseas,Bowler,1.0,6557423.5,0.0,7500000.0,18.687779499999998
Lance Morris,Overseas,Bowler,0.0,2127184.2,0.0,7500000.0,23.0679205
Ollie Robinson,Overseas,Bowler,0.0,2132984.0,0.0,7500000.0,23.0679205
Billy Stanlake,Overseas,Bowler,1.0,10452712.0,0.0,7500000.0,28.679166000000002
Olly Stone,Overseas,Bowler,1.0,2342565.2,0.0,7500000.0,23.0679205
Karun Nair,Indian,Batter,0.0,2976007.5,0.0,5000000.0,44.438191
Kusal Mendis,Overseas,Wicket-Keeper,0.0,2125319.5,0.0,5000000.0,23.0679205
Akeal Hosein,Overseas,Bowler,1.0,13476378.0,0.0,5000000.0,59.974237
Mohammad Waqar Salamkheil,Overseas,Bowler,0.0,2129765.0,0.0,5000000.0,23.0679205
Tabraiz Shamsi,Overseas,Bowler,1.0,19768138.0,0.0,5000000.0,29.954786999999996
Alick Athanaze,Overseas,Batter,0.0,2124685.0,0.0,5000000.0,23.0679205
Mark Chapman,Overseas,Batter,1.0,16188677.0,0.0,5000000.0,48.9756785
Samuel Hain,Overseas,Batter,0.0,2127266.2,0.0,5000000.0,23.0679205
Reeza Hendricks,Overseas,Batter,1.0,13276799.0,0.0,5000000.0,52.3990795
Brandon King,Overseas,Batter,1.0,20544278.0,0.0,5000000.0,47.1906855
Ibrahim Zadran,Overseas,Batter,1.0,16641866.0,0.0,5000000.0,37.5724295
Najibullah Zadran,Overseas,Batter,1.0,12456721.0,0.0,5000000.0,54.9466695
Wesley Agar,Overseas,All-Rounder,0.0,2121347.5,0.0,5000000.0,23.0679205
Qais Ahamad,Overseas,All-Rounder,0.0,2121347.5,0.0,5000000.0,23.0679205
Charith Asalanka,Overseas,All-Rounder,0.0,2119927.0,0.0,5000000.0,23.0679205
Brydon Carse,Overseas,All-Rounder,0.0,2122246.5,0.0,5000000.0,23.0679205
Ben Cutting,Overseas,All-Rounder,1.0,6683078.0,0.0,5000000.0,63.696355999999994
Matthew Forde,Overseas,All-Rounder,0.0,2114126.8,0.0,5000000.0,23.0679205
George Garton,Overseas,All-Rounder,1.0,3981880.8,0.0,5000000.0,2.0
George Linde,Overseas,All-Rounder,1.0,7605385.5,0.0,5000000.0,24.8497695
