,PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance
119,Mohit Ahlawat,Indian,Wicket-Keeper,0.0,2113926.0,0.0,2000000.0,0.277136011
120,Nihal Ullal,Indian,Wicket-Keeper,0.0,2116246.0,0.0,2000000.0,0.277136011
121,Philip Salt,Overseas,Wicket-Keeper,1.0,14558553.0,0.0,15000000.0,0.277136011
122,Prasad Pawar,Indian,Wicket-Keeper,0.0,2113926.0,0.0,2000000.0,0.277136011
123,Robin Minz,Indian,Wicket-Keeper,0.0,2105805.8,36000000.0,0.0,0.277136011
124,Shakir Gandhi,Indian,Wicket-Keeper,0.0,2109286.0,0.0,2000000.0,0.277136011
125,Sumit Ghadigaonkar,Indian,Wicket-Keeper,0.0,2117405.8,0.0,2000000.0,0.277136011
126,Urvil Patel,Indian,Wicket-Keeper,0.0,2110446.0,0.0,2000000.0,0.277136011
127,Vishnu Solanki,Indian,Wicket-Keeper,1.0,3690989.5,0.0,2000000.0,0.277136011
128,Wayne Parnell,Overseas,Bowler,1.0,20410150.0,0.0,10000000.0,0.275016796
129,Ravi Teja,Indian,All-Rounder,0.0,2120133.5,0.0,2000000.0,0.274429165
130,Mohammad Kaif,Indian,All-Rounder,0.0,2371265.0,0.0,2000000.0,0.273509163
131,Matthew Forde,Overseas,All-Rounder,0.0,2114126.8,0.0,5000000.0,0.271674942
132,Kumar Kushagra,Indian,Wicket-Keeper,0.0,2103485.5,72000000.0,0.0,0.270343243
133,Ashton Agar,Overseas,All-Rounder,1.0,16290735.0,0.0,10000000.0,0.262238387
134,Matt Henry,Overseas,Bowler,1.0,6557423.5,0.0,7500000.0,0.262231873
135,Corbin Bosch,Overseas,All-Rounder,0.0,2123406.5,0.0,3000000.0,0.259994086
136,Jalaj Saxena,Indian,All-Rounder,0.0,2065508.0,0.0,4000000.0,0.251578827
137,M. Siddharth,Indian,Bowler,0.0,2125070.2,24000000.0,0.0,0.250982636
138,Kyle Jamieson,Overseas,Bowler,1.0,10836459.0,0.0,10000000.0,0.249623973
139,Sean Abbott,Overseas,All-Rounder,1.0,6084799.0,0.0,20000000.0,0.245707699
140,Aarya Desai,Indian,All-Rounder,0.0,2101572.5,0.0,2000000.0,0.23946486
141,Abid Mushtaq,Indian,All-Rounder,0.0,2108533.0,2000000.0,0.0,0.23946486
142,Akash Sengupta,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,0.23946486
143,Akash Vashisht,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486
144,Aman Khan,Indian,All-Rounder,1.0,7974187.5,0.0,2000000.0,0.23946486
145,Aniketh Reddy,Indian,All-Rounder,0.0,2502531.5,0.0,2000000.0,0.23946486
146,Ansh Patel,Indian,All-Rounder,0.0,9144016.0,0.0,2000000.0,0.23946486
147,Aradhya Shukla,Indian,All-Rounder,1.0,3291579.8,0.0,2000000.0,0.23946486
148,Ashwin Das,Indian,All-Rounder,0.0,2110853.2,0.0,2000000.0,0.23946486
149,Atal Rai,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486
150,Atharva Ankolekar,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,0.23946486
151,Atit Sheth,Indian,All-Rounder,0.0,2109693.2,0.0,2000000.0,0.23946486
152,Baba Aparajith,Indian,All-Rounder,0.0,2112013.2,0.0,2000000.0,0.23946486
153,Dev Lakra,Indian,All-Rounder,0.0,2101572.5,0.0,2000000.0,0.23946486
154,Divij Mehra,Indian,All-Rounder,0.0,2102733.0,0.0,2000000.0,0.23946486
155,Harsh Dubey,Indian,All-Rounder,0.0,2102733.0,0.0,2000000.0,0.23946486
156,Jass Inder Baidwan,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486
157,Jitender Pal,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486
158,Kaushal Tambe,Indian,All-Rounder,0.0,2102733.0,0.0,2000000.0,0.23946486
159,Kaushik Maity,Indian,All-Rounder,0.0,2106213.0,0.0,2000000.0,0.23946486
160,Mani Sankar Mura Singh,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486
161,Manvanth Kumar,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,0.23946486
162,Mohd Arslan Khan,Indian,All-Rounder,0.0,2835830.5,0.0,2000000.0,0.23946486
163,Mohd. Arshad Khan,Indian,All-Rounder,0.0,2835830.5,2000000.0,0.0,0.23946486
164,Mohit Rathee,Indian,All-Rounder,0.0,2263706.5,0.0,2000000.0,0.23946486
165,Mohit Redkar,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,0.23946486
166,Murugan Abhishek,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,0.23946486
167,Musheer Khan,Indian,All-Rounder,0.0,2825128.8,0.0,2000000.0,0.23946486
168,Nasir Lone,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486
169,Ninad Rathva,Indian,All-Rounder,0.0,2106213.0,0.0,2000000.0,0.23946486
170,P.A. Abdul,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486
171,Pradosh Paul,Indian,All-Rounder,0.0,2105053.2,0.0,2000000.0,0.23946486
172,Prerit Dutta,Indian,All-Rounder,0.0,2107373.0,0.0,2000000.0,0.23946486
173,Rahul Buddhi,Indian,All-Rounder,0.0,2108533.0,0.0,2000000.0,0.23946486
174,Raj Chaudhary,Indian,All-Rounder,0.0,2103893.0,0.0,2000000.0,0.23946486
175,Ravi Chauhan,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,0.23946486
176,Rohit Rayudu,Indian,All-Rounder,0.0,2112013.2,0.0,2000000.0,0.23946486
177,Sahil Dhiwan,Indian,All-Rounder,0.0,2108533.0,0.0,2000000.0,0.23946486
178,Sairaj Patil,Indian,All-Rounder,1.0,2796023.5,0.0,2000000.0,0.23946486
179,Sanjay Pahal,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,0.23946486
180,Saransh Jain,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,0.23946486
181,Sarfaraz Khan,Indian,All-Rounder,0.0,2537590.0,0.0,2000000.0,0.23946486
182,Saumy Pandey,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,0.23946486
183,Saurabh Kumar,Indian,All-Rounder,0.0,2113173.0,0.0,2000000.0,0.23946486
184,Shubham Singh Pundir,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.23946486
185,Shubhang Hegde,Indian,All-Rounder,0.0,2103893.0,0.0,2000000.0,0.23946486
186,Suryansh Shedge,Indian,All-Rounder,0.0,2101572.5,0.0,2000000.0,0.23946486
187,Tanay Thyagarajann,Indian,All-Rounder,0.0,2109954.2,2000000.0,0.0,0.23946486
188,Tanush Kotian,Indian,All-Rounder,0.0,2107373.0,0.0,2000000.0,0.23946486
189,Utkarsh Singh,Indian,All-Rounder,0.0,2107373.0,0.0,2000000.0,0.23946486
190,Vaisakh Chandran,Indian,All-Rounder,0.0,2109693.2,0.0,2000000.0,0.23946486
191,Vineet Dhankhar,Indian,All-Rounder,0.0,2100412.8,0.0,2000000.0,0.23946486
192,Vivrant Sharma,Indian,All-Rounder,0.0,2540788.5,0.0,2000000.0,0.23946486
193,Writtick Chatterjee,Indian,All-Rounder,0.0,2114333.0,0.0,2000000.0,0.23946486
194,Ben Dwarshuis,Overseas,Bowler,1.0,2391955.5,0.0,5000000.0,0.234218635
195,Tim Southee,Overseas,Bowler,1.0,38743040.0,0.0,15000000.0,0.229635834
196,Prenelan Subrayen,Overseas,All-Rounder,0.0,2124566.8,0.0,2000000.0,0.222985935
197,Akeal Hosein,Overseas,Bowler,1.0,13476378.0,0.0,5000000.0,0.214801719
198,Jaydev Unadkat,Indian,Bowler,1.0,7641269.5,16000000.0,0.0,0.209541244
199,Keshav Maharaj,Overseas,All-Rounder,1.0,9653881.0,0.0,5000000.0,0.207179462
200,Harshal Patel,Indian,All-Rounder,1.0,19530762.0,117500000.0,0.0,0.198697015
201,Shardul Thakur,Indian,All-Rounder,1.0,22217538.0,40000000.0,0.0,0.198463819
202,Jhye Richardson,Overseas,Bowler,1.0,9336875.0,50000000.0,0.0,0.197578022
203,Anshul Kamboj,Indian,All-Rounder,0.0,2105053.2,2000000.0,0.0,0.189058207
204,James Neesham,Overseas,All-Rounder,1.0,20580640.0,0.0,15000000.0,0.187323517
205,K.C Cariappa,Indian,Bowler,0.0,2532708.0,0.0,2000000.0,0.185699108
206,Adam Milne,Overseas,Bowler,1.0,15488255.0,0.0,10000000.0,0.1853424
207,Adil Rashid,Overseas,Bowler,1.0,26448402.0,0.0,20000000.0,0.182810408
208,Chris Woakes,Overseas,All-Rounder,1.0,11724359.0,42000000.0,0.0,0.182639703
209,Barinder Sran,Indian,Bowler,1.0,3093413.0,0.0,5000000.0,0.182634806
210,Shreyas Gopal,Indian,Bowler,0.0,2494120.5,2000000.0,0.0,0.177140545
211,Jagadeesha Suchith,Indian,Bowler,0.0,3842254.0,0.0,2000000.0,0.173835317
212,Alzarri Joseph,Overseas,Bowler,1.0,13742845.0,115000000.0,0.0,0.173307818
213,Hrithik Shokeen,Indian,All-Rounder,0.0,6295063.0,0.0,2000000.0,0.172556445
214,Gus Atkinson,Overseas,Bowler,1.0,2140985.0,10000000.0,0.0,0.172205185
215,Chris Wood,Overseas,Bowler,0.0,2136464.2,0.0,2000000.0,0.171911972
216,Lockie Ferguson,Overseas,Bowler,1.0,15268348.0,20000000.0,0.0,0.169896119
217,Manav Suthar,Indian,Bowler,0.0,2111150.0,2000000.0,0.0,0.168146016
218,Luke Wood,Overseas,Bowler,1.0,2661003.5,0.0,5000000.0,0.166178843
219,Umesh Yadav,Indian,Bowler,1.0,14503872.0,58000000.0,0.0,0.16477312
220,Fabian Allen,Overseas,All-Rounder,0.0,12678001.0,0.0,7500000.0,0.163094691
221,S Midhun,Indian,Bowler,0.0,2039616.8,0.0,3000000.0,0.158992715
222,Chris Jordan,Overseas,Bowler,1.0,35404580.0,0.0,15000000.0,0.157244343
223,Mitchell Starc,Overseas,Bowler,1.0,19762206.0,247500000.0,0.0,0.154317668
224,William O'Rourke,Overseas,Bowler,0.0,2123704.0,0.0,2000000.0,0.152264534
225,Mujeeb Rahman,Overseas,Bowler,1.0,12732593.0,20000000.0,0.0,0.152084009
226,Obed Mccoy,Overseas,Bowler,0.0,2128343.8,0.0,5000000.0,0.151606039
227,Ish Sodhi,Overseas,Bowler,1.0,27426448.0,0.0,7500000.0,0.15027804
228,Shivam Sharma,Indian,Bowler,1.0,2789786.2,0.0,2000000.0,0.148353718
229,Richard Ngarava,Overseas,Bowler,1.0,12172691.0,0.0,5000000.0,0.14740531
230,Paul Van Meekeren,Overseas,Bowler,1.0,19877548.0,0.0,2000000.0,0.145555757
231,Rahul Shukla,Indian,Bowler,0.0,2478312.0,0.0,2000000.0,0.141970152
232,Spencer Johnson,Overseas,Bowler,1.0,2144465.0,100000000.0,0.0,0.139815489
233,Abhilash Shetty,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,0.136903569
234,Akhin Sathar,Indian,Bowler,0.0,2111150.0,0.0,2000000.0,0.136903569
235,Allah Ghazanfar,Overseas,Bowler,0.0,2116743.5,0.0,2000000.0,0.136903569
236,Arpit Guleria,Indian,Bowler,0.0,2116950.5,0.0,2000000.0,0.136903569
237,Ashok Sharma,Indian,Bowler,1.0,7432149.5,0.0,2000000.0,0.136903569
238,Ashwani Kumar,Indian,Bowler,0.0,2116950.5,0.0,2000000.0,0.136903569
239,B. Surya,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
240,Basit Bashir,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
241,Bhuwan Rohilla,Indian,Bowler,0.0,2112310.5,0.0,2000000.0,0.136903569
242,Chintal Gandhi,Indian,Bowler,0.0,2120430.5,0.0,2000000.0,0.136903569
243,Devang Karamta,Indian,Bowler,0.0,2115790.2,0.0,2000000.0,0.136903569
244,Devendra Singh Bora,Indian,Bowler,0.0,2113470.2,0.0,2000000.0,0.136903569
245,Digvesh Singh,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
246,Divesh Sharma,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
247,Ganesh Chaudhary,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
248,Gourav Yadav,Indian,Bowler,0.0,2118371.2,0.0,2000000.0,0.136903569
249,Gurjapneet Singh,Indian,Bowler,1.0,8402333.0,0.0,2000000.0,0.136903569
